"TID","EN","AR","CN","CNT","DE","ES-419","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"TID_SPEC_ABI_POWER_LEVELER_1_DESC","Surge's Main Attack now bounces off walls.","ترتد الآن الهجمة الأساسية لسيرج على الجدران.","瑟奇的普通攻击命中墙壁时会反弹。","奔騰的普通攻擊命中牆壁時會反彈。","Surges Hauptattacke prallt jetzt von Wänden ab.","Los proyectiles del ataque principal rebotan en los muros.","El ataque principal de Surge rebota en los muros.","Surgen päähyökkäys kimpoilee nyt muureista.","L'attaque principale de Surge rebondit maintenant sur les murs.","ההתקפה העיקרית של סרג' ניתזת מקירות כעת.","Serangan dasar Surge kini memantul dari tembok.","Ora i proiettili sparati con l'attacco base rimbalzano sui muri.","壁に当たった通常攻撃が跳弾する。","이제 서지의 일반 공격이 벽에 맞으면 튕깁니다.","Serangan Utama Surge kini melantun ke benteng.","Surge's hoofdaanval kaatst nu tegen muren.","Podstawowy atak Surge'a odbija się od ścian.","O ataque principal do Wattson passa a ricochetear nos muros.","Заряд основной атаки Вольта отскакивает от стен.","การโจมตีพื้นฐานของเซิร์จจะกระดอนจากกำแพงได้","Surge'ün temel saldırısı duvarlardan seker.","Đòn tấn công chính của Surge giờ đây sẽ nảy ngược lại khi chạm tường."
"TID_SPEC_ABI_POWER_LEVELER_2_DESC","Surge always spawns with a full Super Charge.","يظهر سيرج دائمًا بشحن زخم كامل.","瑟奇开局和重生时都可直接使用超级技能。","奔騰開局和重生時都可直接使用超級技能。","Surge beginnt immer mit komplett aufgeladenem Superskill.","Surge siempre comienza con el superataque cargado.","Surge siempre aparece con la carga del súper al máximo.","Surgen ilmestyy peliin super aina täyteen ladattuna.","Surge apparaît toujours avec une charge du super complète.","סרג' תמיד מייצר בטעינת סופר מלאה.","Surge akan selalu muncul dengan Super penuh.","Energetik torna sempre in battaglia con la super completamente carica.","スポーン時に必殺技がフルチャージされる。","서지가 항상 특수 공격이 완전히 충전된 상태로 태어납니다.","Surge sentiasa muncul dengan Cas Super yang penuh.","Surge spawnt altijd met een volledig opgeladen super.","Surge zawsze zaczyna z w pełni naładowanym superatakiem.","Wattson sempre ressurge com o Super carregado.","Вольт всегда возрождается с заряженным Супером.","เซิร์จเกิดใหม่พร้อมกับท่าไม้ตายที่ชาร์จเต็ม","Surge her zaman süperi tam dolu olarak canlanır.","Surge luôn xuất hiện với thanh Tuyệt chiêu sạc đầy."
"TID_ACCESSORY_CROW_POISON_TRIGGER_DESC","All currently poisoned enemies are slowed for <c00cc00><VALUE1></c> seconds.","ستبطؤ حركة جميع الأعداء المصابين حاليًا لمدة <c00cc00><VALUE1></c> ث.","激活后，所有受到淬毒飞刃影响的敌人都将被减速<c00cc00><VALUE1></c>秒。","啟動後，所有受到淬毒飛刀影響的敵人都將被減速<c00cc00><VALUE1></c>秒。","Alle derzeit vergifteten Gegner werden <c00cc00><VALUE1></c> Sekunden lang verlangsamt.","Los rivales envenenados son ralentizados durante <c00cc00><VALUE1></c> segundos.","Todos los rivales envenenados serán ralentizados durante <c00cc00><VALUE1></c> segundos.","Myrkyn vaikutuksen alaisena olevat vastustajat hidastuvat <c00cc00><VALUE1></c> sekunniksi.","Les ennemis touchés par le poison sont ralentis pendant <c00cc00><VALUE1></c> s.","ההתקדמות של כל האויבים שהורעלו כעת איטית יותר למשך <c00cc00><VALUE1></c> שניות.","Semua lawan yang terkena racun akan bergerak lebih lambat selama <c00cc00><VALUE1></c> detik.","Tutti i nemici sotto l'effetto del veleno vengono rallentati per <c00cc00><VALUE1></c> secondi.","使用時に毒状態の敵全員の動きが、<c00cc00><VALUE1></c>秒間遅くなる。","<c00cc00><VALUE1></c>초 동안 현재 독 효과가 걸린 적들이 느려집니다.","Semua musuh yang terkena racun kini diperlahankan selama <c00cc00><VALUE1></c> saat.","Alle vergiftigde vijanden worden <c00cc00><VALUE1></c> seconden lang vertraagd.","Wszyscy aktualnie zatruci wrogowie są spowolnieni na <c00cc00><VALUE1></c> sek.","Todos os inimigos envenenados ficam mais lentos por <c00cc00><VALUE1></c> segundos.","Все отравленные враги замедляются на <c00cc00><VALUE1></c> с.","ศัตรูทั้งหมดที่ติดพิษในขณะนั้นจะช้าลงเป็นเวลา <c00cc00><VALUE1></c> วินาที","Zehirlenmiş tüm düşmanları <c00cc00><VALUE1></c> saniyeliğine yavaşlatır.","Tất cả kẻ địch hiện đang bị nhiễm độc sẽ di chuyển chậm trong <c00cc00><VALUE1></c> giây."
"TID_ACCESSORY_BO_MINE_TRIGGER_DESC","Bo triggers all of his mines after <c00cc00><VALUE1></c> seconds. During the delay the mines are completely undetectable to opponents.","ينشط بو كل الألغام بعد <c00cc00><VALUE1></c> ث. خلال تلك المدة، لا تظهر الألغام للخصوم.","激活随身妙具后，阿渤的地雷会在<c00cc00><VALUE1></c>秒后爆炸。延迟引爆期间，敌人无法探测到地雷位置。","啟動武裝配件後，鷹獵人的地雷會在<c00cc00><VALUE1></c>秒後爆炸。延遲引爆期間，敵人無法探測到地雷位置。","Bo zündet nach <c00cc00><VALUE1></c> Sekunden alle seine Minen. Während dieser Zeit sind die Minen für Gegner komplett unsichtbar.","Bo activa todas sus minas tras <c00cc00><VALUE1></c> segundos. Las minas son indetectables por el tiempo que duren en activarse.","Bo activa todas sus minas tras <c00cc00><VALUE1></c> segundos. Mientras se activan, los rivales no tienen manera alguna de detectarlas.","Bo räjäyttää kaikki miinansa <c00cc00><VALUE1></c> sekunnin kuluttua. Miinat pysyvät täysin huomaamattomina vastustajille viiveen aikana.","Bo déclenche toutes ses mines au bout de <c00cc00><VALUE1></c> s. Avant le déclenchement, les mines sont complètement indétectables.","בו מפעיל את כל המוקשים שלו לאחר <c00cc00><VALUE1></c> שניות. במשך ההשהיה, האויבים לא יכולים לזהות את המוקשים.","Bo meledakkan semua ranjau miliknya setelah <c00cc00><VALUE1></c> detik. Dalam jangka waktu tersebut, ranjau tetap tidak akan terdeteksi.","Bo fa esplodere tutte le sue mine dopo <c00cc00><VALUE1></c> secondi. Durante l'attesa, nessun nemico potrà avvistarle.","<c00cc00><VALUE1></c>秒後にすべての地雷を起爆させる。起爆するまで、敵は地雷がどこにあるか分からない。","<c00cc00><VALUE1></c>초 뒤 덫을 폭발시킵니다. 폭발하기 전까지 덫이 적에게 감지되지 않습니다.","Bo mencetus semua periuk apinya selepas <c00cc00><VALUE1></c> saat. Pihak lawan tidak akan dapat kesan periuk api sebelum dicetuskan.","Bo laat al zijn mijnen na <c00cc00><VALUE1></c> seconden ontploffen. Vijanden kunnen de mijnen niet zien totdat ze afgaan.","Bo detonuje wszystkie swoje miny po <c00cc00><VALUE1></c> s. Przed detonacją miny są całkowicie niewykrywalne dla wrogów.","Bo ativa todas as minas após <c00cc00><VALUE1></c> segundo. Durante esse período, as minas ficam indetectáveis aos oponentes.","Все мины Бо активируются с задержкой в <c00cc00><VALUE1></c> с. До активации мины не могут быть обнаружены соперником.","โบจุดชนวนระเบิดทั้งหมดของเขาหลังจากรอเป็นเวลา <c00cc00><VALUE1></c> วินาที ระหว่างรอเวลา คู่ต่อสู้จะมองไม่เห็นระเบิดทั้งหมด","Bo, <c00cc00><VALUE1></c> saniye sonra tüm mayınlarını patlatır. Bu süre içinde mayınlar düşmanlar tarafından tespit edilemez.","Tất cả mìn của Bo được kích nổ sau <c00cc00><VALUE1></c> giây. Trong khoảng thời gian chờ kích nổ, đối thủ hoàn toàn không thể phát hiện ra số mìn này."
"TID_ACCESSORY_BARKEEP_HEAL_POTION_DESC","Barley throws a healing potion at nearby allies that creates an area that heals for <c00cc00><VALUE1></c> health per second.","يرمي بارلي جرعة علاجية على حلفائه القريبين، فيشكل منطقة تأثير ترد الصحة بمعدل <c00cc00><VALUE1></c> في الثانية.","巴利朝每个附近的队友扔出一瓶治疗药水，为作用范围内的友军每秒恢复<c00cc00><VALUE1></c>生命值。","保力朝附近的每位隊友丟出一瓶治療藥水，為效果範圍內的友軍每秒恢復<c00cc00><VALUE1></c>生命值。","Barley schleudert einen Heiltrank auf alle Verbündeten in seiner Nähe. Teammitglieder im Wirkungsbereich werden um <c00cc00><VALUE1></c> Trefferpunkte pro Sekunde geheilt.","Barley lanza un brebaje curativo a los aliados que se encuentren cerca, generando una zona de curación que regenera <c00cc00><VALUE1></c> puntos de salud por segundo.","Barley lanza un brebaje curativo a los aliados que se encuentren cerca, generando una zona de curación que regenera <c00cc00><VALUE1></c> puntos de salud por segundo.","Barley heittää lähimpiä liittolaisiaan kohti parantavan rohdon, jonka vaikutusalueella näille palautuu <c00cc00><VALUE1></c> elinvoimapistettä sekunnissa.","Bartaba lance une potion réparatrice sur ses alliés, créant une zone qui régénère <c00cc00><VALUE1></c> PV par seconde.","בארלי משליך שיקוי בריאות על חברי צוות בסביבה, אשר יוצר אזור שמחזיר <c00cc00><VALUE1></c> בריאות בכל שנייה.","Barley melemparkan ramuan penyembuh ke rekan terdekat yang akan menggenang dan menyembuhkan rekan sebesar <c00cc00><VALUE1></c> kesehatan per detik.","Bombardino lancia una pozione agli alleati vicini, la quale genera un'area curativa che ripristina <c00cc00><VALUE1></c> punti salute al secondo.","回復ポーションを近くに味方に投げ、1秒につき<c00cc00><VALUE1></c>回復させるエリアをつくりだす。","근처의 아군에게 치료 칵테일을 던져 초당 <c00cc00><VALUE1></c> HP를 회복하는 웅덩이를 만듭니다.","Barley melemparkan posyen penyembuhan pada sekutu berdekatan yang membentuk kawasan yang menyembuhkan <c00cc00><VALUE1></c> nilai nyawa sesaat.","Barley werpt een genezend drankje naar bondgenoten in de buurt. Spelers die in het effectgebied blijven, herstellen <c00cc00><VALUE1></c> gezondheid per seconde.","Barley zrzuca uzdrawiający eliksir na najbliższego sojusznika, a eliksir tworzy uzdrawiający obszar przywracający <c00cc00><VALUE1></c> PŻ na sekundę.","Barley lança uma poção curadora nos aliados mais próximos que restaura <c00cc00><VALUE1></c> pontos de saúde por segundo.","Барли швыряет в сторону ближайших союзников зелье, лужа которого восстанавливает <c00cc00><VALUE1></c> очков здоровья в секунду.","บาร์ลีย์ปาน้ำยารักษาใส่พันธมิตรที่อยู่ใกล้เคียง ซึ่งสร้างบริเวณที่เยียวยาพลังชีวิต <c00cc00><VALUE1></c> หน่วยต่อวินาที","Barley, arkadaşlarına bir iyileştirme iksiri atar ve saniyede <c00cc00><VALUE1></c> puan iyileştiren bir alan oluşturur.","Barley ném một bình thuốc hồi máu vào các liên minh ở gần ông ta để tạo ra một khu vực hồi <c00cc00><VALUE1></c> máu mỗi giây."
"TID_ACCESSORY_TNT_STUN_DESC","Once activated, the next main attack also stuns enemies for <c00cc00><VALUE1></c> seconds.","عقب التفعيل، يعمل الهجوم الأساسي التالي على إضعاف الأعداء لمدة <c00cc00><VALUE1></c> ث.","激活后，下一次普通攻击还能将敌人击晕<c00cc00><VALUE1></c>秒。","啟動後，下一次普通攻擊能將敵人擊暈<c00cc00><VALUE1></c>秒。","Bei Aktivierung betäubt der nächste Hauptangriff Gegner für <c00cc00><VALUE1></c> Sekunden.","El siguiente ataque principal aturde a los enemigos durante <c00cc00><VALUE1></c> segundos.","El siguiente ataque principal aturde a los enemigos durante <c00cc00><VALUE1></c> segundos.","Aktivoimisen jälkeen seuraava perushyökkäys myös lamauttaa vastustajat <c00cc00><VALUE1></c> sekunniksi.","L'attaque principale étourdit les ennemis pendant <c00cc00><VALUE1></c> s.","הפעלת הגאדג'ט מוסיפה את הכנסת האויבים להלם למשך <c00cc00><VALUE1></c> שניות בהתקפה העיקרית הבאה.","Saat diaktifkan, serangan berikutnya akan memberikan efek kejut ke lawan selama <c00cc00><VALUE1></c> detik.","L'attacco normale successivo all'attivazione del gadget stordirà i nemici per <c00cc00><VALUE1></c> secondi.","使用すると、次の通常攻撃は敵を<c00cc00><VALUE1></c>秒間気絶させる。","활성화 시 다음 일반 공격이 적을 <c00cc00><VALUE1></c>초 동안 기절시킵니다.","Apabila diaktifkan, serangan utama seterusnya juga memegun musuh selama <c00cc00><VALUE1></c> saat.","Dynamikes volgende hoofdaanval verdooft vijanden voor <c00cc00><VALUE1></c> seconden.","Po aktywowaniu następny główny atak dodatkowo ogłusza wrogów na <c00cc00><VALUE1></c> sek.","Após a ativação do acessório, o ataque atordoa os inimigos por <c00cc00><VALUE1></c> segundo.","После активации следующая основная атака оглушает врагов на <c00cc00><VALUE1></c> с.","เมื่อเปิดใช้งาน การโจมตีพื้นฐานครั้งถัดไปจะสตั๊นศัตรูเป็นเวลา <c00cc00><VALUE1></c> วินาที","Etkinleştirildiğinde, sonraki temel saldırı <c00cc00><VALUE1></c> saniyeliğine sersemletme etkisine de sahip olur.","Khi được kích hoạt, đòn tấn công chính tiếp theo cũng sẽ làm choáng kẻ địch trong <c00cc00><VALUE1></c> giây."
"TID_ACCESSORY_MECHANIC_TURRET_BUFF_DESC","Scrappy's attack speed is doubled for <c00cc00><VALUE1></c> seconds.","تتضاعف سرعة هجوم البرج الطائر لمدة <c00cc00><VALUE1></c> ث.","在<c00cc00><VALUE1></c>秒内使炮台的攻击速度加倍。","在<c00cc00><VALUE1></c>秒內使炮台的攻擊速度加倍。","Ramschis Angriffsgeschwindigkeit verdoppelt sich <c00cc00><VALUE1></c> Sekunden lang.","La velocidad de ataque de Chatarrito se duplica durante <c00cc00><VALUE1></c> segundos.","La velocidad de ataque de la chatarreta se duplica durante <c00cc00><VALUE1></c> segundos.","Romurekun hyökkäysnopeus tuplaantuu <c00cc00><VALUE1></c> sekunniksi.","La vitesse d'attaque de Jems la tourelle est doublée pendant <c00cc00><VALUE1></c> s.","מהירות ההתקפה של סקראפי מוכפלת למשך <c00cc00><VALUE1></c> שניות.","Kecepatan serangan Scrappy berlipat ganda selama <c00cc00><VALUE1></c> detik.","La velocità di attacco di Lattina viene raddoppiata per <c00cc00><VALUE1></c> secondi.","がらくタレットの攻撃速度が、<c00cc00><VALUE1></c>秒間2倍になる。","터렛의 공격 속도가 <c00cc00><VALUE1></c>초 동안 2배로 증가합니다.","Kelajuan serangan turet digandakan selama <c00cc00><VALUE1></c> saat.","De aanvalssnelheid van Schrootje wordt <c00cc00><VALUE1></c> seconden lang verdubbeld.","Prędkość ataku Złomka jest podwajana na <c00cc00><VALUE1></c> sek.","A velocidade de ataque da Lata-velha é duplicada por <c00cc00><VALUE1></c> segundos.","Скорость атаки Скраппи увеличивается вдвое на <c00cc00><VALUE1></c> с.","ความเร็วในการโจมตีของสแครปปี้จะเพิ่มขึ้นเป็นสองเท่าเป็นเวลา <c00cc00><VALUE1></c> วินาที","Jessie'nin taretinin saldırı hızı <c00cc00><VALUE1></c> saniyeliğine iki kat artar.","Tốc độ tấn công của Trụ súng dã chiến tăng gấp đôi trong <c00cc00><VALUE1></c> giây."
"TID_ACCESSORY_BULL_STOMP_DESC","Bull stomps the ground, slowing nearby enemies. If a target is already slowed, they are stunned!","يضرب بول الأرض بقدمه ليبطئ الأعداء القريبين. إذا كان أحد الأعداء تحت تأثير الإبطاء بالفعل، فسيصاب بالصعق.","公牛猛踏地面，使周围的敌人减速。如果有目标已经被减速，则会被击晕！","狂牛猛踏地面，使周圍的敵人減速。如果有目標已經被減速，則會被擊暈！","Bull stampft auf den Boden, wodurch Gegner in der Nähe verlangsamt werden. Falls ein Ziel bereits verlangsamt war, wird es betäubt.","Bull hace temblar el suelo y ralentiza a los enemigos cercanos, y si ya están bajo los efectos de la ralentización, ¡los aturde!","Bull golpea el suelo y ralentiza a los enemigos cercanos. Si un objetivo ya está ralentizado, lo aturde.","Bull tömistää maata, jolloin lähellä olevat vastustajat hidastuvat. Jos kohde on jo valmiiksi hidastunut, hän lamaantuu!","Bull frappe le sol et ralentit les ennemis aux alentours. Si une cible est déjà ralentie, elle est étourdie !","בול בוטש בקרקע ברגליו, ומאט אויבים סמוכים. אם המטרה כבר במהירות נמוכה, היא נכנסת להלם!","Bull mengentakkan kaki ke bumi untuk memperlambat lawan. Jika target sudah terkena efek lambat, mereka akan menerima efek kejut!","Bull calpesta il suolo, rallentando i nemici vicini. I bersagli che sono già stati rallentati vengono storditi.","地面を踏みしめ、近くの敵をスローダウンさせる。すでにスローダウンしている敵はスタンする。","발을 굴러 주변에 있는 적을 느리게 만듭니다. 이미 이동 속도가 느려진 적은 감속 대신 기절합니다!","Bull memijak tanah, memperlahankan musuh berdekatan. Jika sasaran sudah diperlahankan, ia akan dipegun!","Bull stampt op de grond en vertraagt nabije vijanden. Doelwitten die al vertraagd zijn, worden ook verdoofd!","Bull tupie w ziemię, spowalniając pobliskich wrogów. Jeśli cel jest już spowolniony, zostaje ogłuszony.","Bull pisa forte no chão e desacelera os inimigos próximos. Se um alvo já estiver mais lento, ele ficará atordoado.","Булл топает ногой, замедляя ближайших противников. Уже замедленные враги оглушаются!","บูลกระทืบพื้น ทำให้ศัตรูใกล้เคียงช้าลง ถ้าเป้าหมายถูกทำให้ช้าลงอยู่แล้ว เป้าหมายจะสตันแทน!","Bull yere bir tekme vurarak yakındaki düşmanları yavaşlatır. Hedef zaten yavaşlatma etkisindeyse sersemler.","Bull giậm chân thật mạnh xuống đất, làm chậm kẻ địch xung quanh. Nếu mục tiêu đã bị làm chậm rồi thì họ sẽ bị choáng!"
"TID_ACCESSORY_REWIND_DESC","Max throws a lightning bolt. If she reactivates the Gadget, or after <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> seconds, she blinks back to the lightning bolt and heals any damage taken since.","تُلقي ماكس صاعقة برق. وإذا أعادت تنشيط الجهاز، أو بعد <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> ثوانٍ، فستومض عائدة إلى موقع الصاعقة وتتعافى من أي ضرر لحق بها منذ ذلك الحين.","麦克斯丢出一道闪电标记，在她再次使用此随身妙具时或<c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>秒后，她将闪现回闪电标记的位置，并恢复这段时间内损失的生命值。","麥克絲丟出一道閃電標記，在她再次使用此武裝配件時或<c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>秒後，她將閃現回閃電標記的位置，並恢復這段時間內損失的生命值。","Max wirft einen Blitzschlag. Nach <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> Sekunden oder wenn sie das Gadget reaktiviert, bewegt sie sich sofort zu dem Blitzschlag zurück und heilt sämtlichen bis dahin erlittenen Schaden.","Max lanza un rayo. Cuando reactiva el gadget, o luego de <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timeMs.msAssec></c> segundo(s), reaparece en el lugar del rayo y se cura el daño recibido.","Max lanza un rayo y, cuando vuelve a activar el gadget o transcurren <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>  segundos, reaparece en la ubicación del rayo y restaura toda la salud que haya perdido desde el lanzamiento.","Max heittää salaman. Jos hän aktivoi varusteen uudelleen, tai kun <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>  sekuntia on kulunut, hän loikkaa takaisin salaman luo ja kaikki hänen tällä välin kärsimänsä vahinko parannetaan.","Max lance un éclair. Quand elle réactive le gadget, ou au bout de <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> s, elle réapparaît là où elle a lancé l'éclair et récupère tous les PV qu'elle a perdus depuis.","מקס משליכה ברק. אם היא מפעילה מחדש את הגאדג'ט, או אחרי <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> שניות, היא ממצמצת בחזרה אל הברק ומרפאת כל נזק שספגה מאז.","Max mengerahkan kilat. Saat Gadget diaktifkan lagi, atau setelah <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>detik, dia akan kembali ke lokasi kilat dan memulihkan kerusakan yang diterima sejak kilat dikerahkan.","Maxine scaglia un fulmine e, se il gadget viene riattivato, oppure dopo <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> secondi, ritorna velocemente verso di esso e ripristina la salute persa dal momento in cui l'ha scagliato.","使用時に雷を落とし、再起動するか<c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>秒が経過したタイミングで雷の位置に戻り、その間に受けたすべてのダメージも回復する。","맥스가 전기 표식을 던집니다. 가젯을 재활성화하거나 <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>초가 지나면 전기 표식 위치로 순간이동하며, 그동안 받은 피해를 모두 회복합니다.","Max melemparkan panah kilat. Jika diaktifkan semula atau selepas <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>saat, dia kembali ke panah kilat dan memulihkan kerosakan yang diterima.","Max plaatst een bliksemschicht. Ze teleporteert terug naar de bliksemschicht na <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> sec. of als ze de gadget opnieuw activeert, waarbij ze alle schade herstelt die ze in de tussentijd heeft opgelopen.","Maks rzuca błyskawicą. Jeśli reaktywuje gadżet lub upłynie <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>s, przenosi się do błyskawicy i leczy otrzymane w międzyczasie obrażenia.","Max lança um raio. Reativar o acessório ou esperar <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c>s faz com que ela retorne ao raio e cure todo o dano recebido nesse intervalo.","Макс выпускает молнию. При повторной активации гаджета или спустя <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> с. она перемещается к молнии и восстанавливает здоровье, потерянное с момента первой активации.","แม็กซ์ทำเครื่องหมายสายฟ้า หากเธอใช้งานอุปกรณ์เสริมอีกครั้ง หรือภายหลัง <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> วินาที เธอจะวาร์ปกลับไปยังสายฟ้าและรักษาตามความเสียหายที่ได้รับในระหว่างช่วงเวลาที่เปิดใช้","Max bir yıldırım atar. Aksesuarı tekrar etkinleştirirse veya <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> saniye geçince yıldırımın olduğu yere ışınlanır ve aradaki süre boyunca aldığı hasar iyileşir.","Max phóng ra một tia sét. Nếu cô ấy kích hoạt lại Phụ kiện, hoặc sau <c00cc00><!card.accessory.skill.projectile.spawnAreaEffectObject.timems.msasseconds></c> giây, cô ấy sẽ dịch chuyển tức thời trở lại vị trí tia sét và hồi phục toàn bộ lượng máu đã mất kể từ lúc phóng tia sét."
"TID_ACCESSORY_BARREL_SLOW_DESC","Darryl creates a slowing area around himself for <c00cc00><VALUE1></c> seconds.","يخلق داريل منطقة إبطاء حوله لمدة <c00cc00><VALUE1></c> ث.","达里尔在身边制造一片减速区域，持续<c00cc00><VALUE1></c>秒。","達里爾在身邊製造一片減速區域，持續<c00cc00><VALUE1></c>秒。","Darryl erzeugt einen Bereich um sich herum, der Gegner <c00cc00><VALUE1></c> Sekunden lang verlangsamt.","Darryl crea una zona a su alrededor que ralentiza a los enemigos durante <c00cc00><VALUE1></c> segundos.","Darryl crea una zona a su alrededor que ralentiza a los enemigos durante <c00cc00><VALUE1></c> segundos.","Darryl luo hidastavan alueen ympärilleen <c00cc00><VALUE1></c> sekunniksi.","Darryl crée autour de lui une zone qui ralentit ses ennemis pendant <c00cc00><VALUE1></c> s.","דאריל יוצר שטח האטה סביבו למשך <c00cc00><VALUE1></c> שניות.","Darryl menciptakan area yang dapat memperlambat lawan di dekatnya selama <c00cc00><VALUE1></c> detik.","Barryl crea un'area attorno a sé in grado di rallentare i nemici per <c00cc00><VALUE1></c> secondi.","敵の移動速度を低下させるエリアを周囲に<c00cc00><VALUE1></c>秒間生成する。","<c00cc00><VALUE1></c>초 동안 자신 주위에 감속 지대를 만듭니다.","Darryl mencipta kawasan memperlahankan di sekelilingnya selama <c00cc00><VALUE1></c> saat.","Darryl creëert <c00cc00><VALUE1></c> seconden lang een veld om zich heen dat nabije vijanden vertraagt.","Darryl tworzy wokół siebie na <c00cc00><VALUE1></c> s obszar spowalniający.","Darryl cria uma área de desaceleração ao seu redor por <c00cc00><VALUE1></c> segundos.","Дэррил создаёт вокруг себя замедляющую область, которая держится <c00cc00><VALUE1></c> с.","ดารีลสร้างพื้นที่รอบตัวให้ทุกคนเคลื่อนไหวได้ช้าลงเป็นเวลา <c00cc00><VALUE1></c> วินาที","Darryl, <c00cc00><VALUE1></c> saniyeliğine etrafında düşmanları yavaşlatan bir alan oluşturur.","Darryl tạo ra xung quanh anh ta một khu vực có khả năng làm chậm kẻ địch trong <c00cc00><VALUE1></c> giây."
"TID_ACCESSORY_ARCADE_DOUBLE_DESC","8-Bit fires <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> projectiles. Consumes ammo.","يطلق 8-بت <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> من المقذوفات. يستهلك الذخيرة.","8比特发射<c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c>发子弹。需要消耗弹药。","比特8號發射<c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c>發子彈。需要消耗彈藥。","8-Bit verschießt <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> Projektile. Verbraucht Munition.","8-BIT dispara <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> proyectiles. Gasta munición.","8-BIT dispara <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> proyectiles. Consume munición.","8-BIT laukaisee <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> ammusta. Käyttää panoksia.","A.R.K.A.D. tire <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> projectiles. Consomme des munitions.","8 ביט יורה <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> קליעים. מכלה תחמושת.","8-Bit menembakkan <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> proyektil. Gadget ini menggunakan amunisi.","Consumando parte dei colpi, 8-BIT spara <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> raggi laser.","弾薬を消費して、弾を<c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c>発発射する。","8비트가 <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c>개의 투사체를 발사합니다. 탄환이 소모됩니다.","8-Bit menembak <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> projektil. Menggunakan peluru.","8-Bit vuurt <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> projectielen af. Verbruikt munitie.","8-bitowiec wystrzeliwuje <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> pocisków. Zużywa amunicję.","8-BIT dispara <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> projéteis. Consome munição.","8-БИТ стреляет очередью из <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> снарядов. Расходует боеприпасы.","8 บิตยิง <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> นัดในหนึ่งกระสุน","8-BIT, <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> mermi ateşler. Cephane tüketir.","8-BIT bắn ra <c00cc00><!card.accessory.skill.areaEffect.bulletExplosionTriggerCount></c> viên đạn. Có tiêu hao đạn."
