"Name","Version","VersionCN","IconSWF","IconExportName","Character","Skin","GiveOnSkinUnlock","IsPicto","BattleCategory","Rarity","EmoteType","SoundEffect","SfxIndex","LockedForChronos","EmoteBundles","IsDefaultBattleEmote","PriceBling","PriceGems","DontSellInCatalog","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","ExtraCatalogCampaign","HideFromCatalogRarityCategory","UnlockedByFame","BrawlerTrophyReward","ShouldDownweight","OdditiesShopAvailability"
"emoji_bea_angry",,,"sc/emoji_1.sc","emoji_bea_angry","BeeSniper",,,,"ANGRY","COMMON","ANGRY","Bea_Hurt_VO","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_bea_gg",,,"sc/emoji_1.sc","emoji_bea_gg","BeeSniper",,,,"SPECIAL","RARE","GG","Bea_Lead_VO","1",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_bea_sad",,,"sc/emoji_1.sc","emoji_bea_sad","BeeSniper",,,,"SAD","COMMON","SAD","Bea_Die_VO","1",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_bea_thanks",,,"sc/emoji_1.sc","emoji_bea_thanks","BeeSniper",,,,"SPECIAL","EPIC","THANKS","Bea_Lead_VO","2",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_bibi",,,"sc/emoji_1.sc","emoji_bibi","Baseball",,,,"DEFAULT","DEFAULT","DEFAULT","Bibi_kill_vo","1",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_bibi_angry",,,"sc/emoji_1.sc","emoji_bibi_angry","Baseball",,,,"ANGRY","COMMON","ANGRY","Bibi_hurt_vo","1",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_bibi_gg",,,"sc/emoji_1.sc","emoji_bibi_gg","Baseball",,,,"SPECIAL","RARE","GG","Bibi_kill_vo","3",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_bibi_sad",,,"sc/emoji_1.sc","emoji_bibi_sad","Baseball",,,,"SAD","COMMON","SAD","Bibi_die_vo","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_bibi_thanks",,,"sc/emoji_1.sc","emoji_bibi_thanks","Baseball",,,,"SPECIAL","EPIC","THANKS","Bibi_lead_vo","3",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_blank",,,"sc/emoji_1.sc","emoji_blank",,,,,"SAD","DEFAULT","SAD",,,,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_bo",,,"sc/emoji_1.sc","emoji_bo","BowDude",,,,"DEFAULT","DEFAULT","DEFAULT","Bo_ulti_vo","2",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_bo_angry",,,"sc/emoji_1.sc","emoji_bo_angry","BowDude",,,,"ANGRY","COMMON","ANGRY","Bo_hurt","3",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_bo_gg",,,"sc/emoji_1.sc","emoji_bo_gg","BowDude",,,,"SPECIAL","RARE","GG","Bo_ulti_vo","0",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_bo_sad",,,"sc/emoji_1.sc","emoji_bo_sad","BowDude",,,,"SAD","COMMON","SAD","Bo_hurt","2",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_bo_thanks",,,"sc/emoji_1.sc","emoji_bo_thanks","BowDude",,,,"SPECIAL","EPIC","THANKS","Bo_start","0",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_bothered",,,"sc/emoji_1.sc","emoji_bothered",,,,,"PLAYER_2","DEFAULT","ANGRY",,,,,"TRUE",,,"TRUE",,,,,,,,,"NEVER"
"emoji_brock",,,"sc/emoji_1.sc","emoji_brock","RocketGirl",,,,"DEFAULT","DEFAULT","DEFAULT","Brock_start_vo","2",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_brock_angry",,,"sc/emoji_1.sc","emoji_brock_angry","RocketGirl",,,,"ANGRY","COMMON","ANGRY","Brock_hurt_vo","4",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_brock_gg",,,"sc/emoji_1.sc","emoji_brock_gg","RocketGirl",,,,"SPECIAL","RARE","GG","Brock_kill_vo","3",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_brock_sad",,,"sc/emoji_1.sc","emoji_brock_sad","RocketGirl",,,,"SAD","COMMON","SAD","Brock_hurt_vo","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_brock_thanks",,,"sc/emoji_1.sc","emoji_brock_thanks","RocketGirl",,,,"SPECIAL","EPIC","THANKS","Brock_start_vo","3",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_bull",,,"sc/emoji_1.sc","emoji_bull","BullDude",,,,"DEFAULT","DEFAULT","DEFAULT","Bull_start","2",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_bull_angry",,,"sc/emoji_1.sc","emoji_bull_angry","BullDude",,,,"ANGRY","COMMON","ANGRY","Bull_ulti","2",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_bull_gg",,,"sc/emoji_1.sc","emoji_bull_gg","BullDude",,,,"SPECIAL","RARE","GG","Bull_start","1",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_bull_sad",,,"sc/emoji_1.sc","emoji_bull_sad","BullDude",,,,"SAD","COMMON","SAD","Bull_die","3",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_bull_thanks",,,"sc/emoji_1.sc","emoji_bull_thanks","BullDude",,,,"SPECIAL","EPIC","THANKS","Bull_lead","0",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_carl",,,"sc/emoji_1.sc","emoji_carl","Whirlwind",,,,"DEFAULT","DEFAULT","DEFAULT","Carl_start_vo","0",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_carl_angry",,,"sc/emoji_1.sc","emoji_carl_angry","Whirlwind",,,,"ANGRY","COMMON","ANGRY","Carl_hurt_vo","2",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_carl_gg",,,"sc/emoji_1.sc","emoji_carl_gg","Whirlwind",,,,"SPECIAL","RARE","GG","Carl_start_vo","1",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_carl_sad",,,"sc/emoji_1.sc","emoji_carl_sad","Whirlwind",,,,"SAD","COMMON","SAD","Carl_die_vo","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_carl_thanks",,,"sc/emoji_1.sc","emoji_carl_thanks","Whirlwind",,,,"SPECIAL","EPIC","THANKS","Carl_start_vo","2",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_colt",,,"sc/emoji_1.sc","emoji_colt","Gunslinger",,,,"DEFAULT","DEFAULT","DEFAULT","Hotshot_Start","1",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_colt_angry",,,"sc/emoji_1.sc","emoji_colt_angry","Gunslinger",,,,"ANGRY","COMMON","ANGRY","Hotshot_Takedamge_Vo","2",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_colt_gg",,,"sc/emoji_1.sc","emoji_colt_gg","Gunslinger",,,,"SPECIAL","RARE","GG","Hotshot_Lead","4",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_colt_sad",,,"sc/emoji_1.sc","emoji_colt_sad","Gunslinger",,,,"SAD","COMMON","SAD","Hotshot_Takedamge_Vo","5",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_colt_thanks",,,"sc/emoji_1.sc","emoji_colt_thanks","Gunslinger",,,,"SPECIAL","EPIC","THANKS","Hotshot_Start","2",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_crow",,,"sc/emoji_1.sc","emoji_crow","Crow",,,,"DEFAULT","DEFAULT","DEFAULT","Crow_Start","0",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_crow_angry",,,"sc/emoji_1.sc","emoji_crow_angry","Crow",,,,"ANGRY","COMMON","ANGRY","Crow_Takedamage","4",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_crow_gg",,,"sc/emoji_1.sc","emoji_crow_gg","Crow",,,,"SPECIAL","RARE","GG","Crow_Kill","2",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_crow_sad",,,"sc/emoji_1.sc","emoji_crow_sad","Crow",,,,"SAD","COMMON","SAD","Crow_Takedamage","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_crow_thanks",,,"sc/emoji_1.sc","emoji_crow_thanks","Crow",,,,"SPECIAL","EPIC","THANKS","Crow_Lead","1",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_darryl",,,"sc/emoji_1.sc","emoji_darryl","BarrelBot",,,,"DEFAULT","DEFAULT","DEFAULT","Darryl_Start_VO","3",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_darryl_angry",,,"sc/emoji_1.sc","emoji_darryl_angry","BarrelBot",,,,"ANGRY","COMMON","ANGRY","Darryl_Hurt_VO","5",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_darryl_gg",,,"sc/emoji_1.sc","emoji_darryl_gg","BarrelBot",,,,"SPECIAL","RARE","GG","Darryl_Start_VO","4",,"LoginCalendarDarryl1",,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_darryl_sad",,,"sc/emoji_1.sc","emoji_darryl_sad","BarrelBot",,,,"SAD","COMMON","SAD","Darryl_Die_VO","5",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_darryl_thanks",,,"sc/emoji_1.sc","emoji_darryl_thanks","BarrelBot",,,,"SPECIAL","EPIC","THANKS","Darryl_Start_VO","6",,"LoginCalendarDarryl2",,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_dynamike",,,"sc/emoji_1.sc","emoji_dynamike","TntDude",,,,"DEFAULT","DEFAULT","DEFAULT","Tnt_guy_start_vo","1",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_dynamike_angry",,,"sc/emoji_1.sc","emoji_dynamike_angry","TntDude",,,,"ANGRY","COMMON","ANGRY","Tnt_guy_hurt_vo","2",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_dynamike_gg",,,"sc/emoji_1.sc","emoji_dynamike_gg","TntDude",,,,"SPECIAL","RARE","GG","Tnt_guy_start_vo","2",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_dynamike_sad",,,"sc/emoji_1.sc","emoji_dynamike_sad","TntDude",,,,"SAD","COMMON","SAD","Tnt_guy_hurt_vo","3",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_dynamike_thanks",,,"sc/emoji_1.sc","emoji_dynamike_thanks","TntDude",,,,"SPECIAL","EPIC","THANKS","Tnt_guy_lead_vo","0",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_ecstatic",,,"sc/emoji_1.sc","emoji_ecstatic",,,,,"HAPPY","DEFAULT","HAPPY",,,,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_emz",,,"sc/emoji_1.sc","emoji_emz","Mummy",,,,"DEFAULT","DEFAULT","DEFAULT","Emz_start_vo","1",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_emz_angry",,,"sc/emoji_1.sc","emoji_emz_angry","Mummy",,,,"ANGRY","COMMON","ANGRY","Emz_hurt_vo","3",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_emz_gg",,,"sc/emoji_1.sc","emoji_emz_gg","Mummy",,,,"SPECIAL","RARE","GG","Emz_lead_vo","3",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_emz_sad",,,"sc/emoji_1.sc","emoji_emz_sad","Mummy",,,,"SAD","COMMON","SAD","Emz_hurt_vo","4",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_emz_thanks",,,"sc/emoji_1.sc","emoji_emz_thanks","Mummy",,,,"SPECIAL","EPIC","THANKS","Emz_lead_vo","2",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_frank",,,"sc/emoji_1.sc","emoji_frank","HammerDude",,,,"DEFAULT","DEFAULT","DEFAULT","Frank_Gadget","0",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_frank_angry",,,"sc/emoji_1.sc","emoji_frank_angry","HammerDude",,,,"ANGRY","COMMON","ANGRY","Frank_vo","5",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_frank_gg",,,"sc/emoji_1.sc","emoji_frank_gg","HammerDude",,,,"SPECIAL","RARE","GG","Frank_vo","2",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_frank_sad",,,"sc/emoji_1.sc","emoji_frank_sad","HammerDude",,,,"SAD","COMMON","SAD","Frank_vo","1",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_frank_thanks",,,"sc/emoji_1.sc","emoji_frank_thanks","HammerDude",,,,"SPECIAL","EPIC","THANKS","Frank_vo","2",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_frenzied",,,"sc/emoji_1.sc","emoji_frenzied",,,,,"ANGRY","DEFAULT","ANGRY",,,,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_gene",,,"sc/emoji_1.sc","emoji_gene","HookDude",,,,"DEFAULT","DEFAULT","DEFAULT","Gene_vo","2",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_gene_angry",,,"sc/emoji_1.sc","emoji_gene_angry","HookDude",,,,"ANGRY","COMMON","ANGRY","Gene_vo","4",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_gene_gg",,,"sc/emoji_1.sc","emoji_gene_gg","HookDude",,,,"SPECIAL","RARE","GG","Gene_vo","6",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_gene_sad",,,"sc/emoji_1.sc","emoji_gene_sad","HookDude",,,,"SAD","COMMON","SAD","Gene_vo","12",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_gene_thanks",,,"sc/emoji_1.sc","emoji_gene_thanks","HookDude",,,,"SPECIAL","EPIC","THANKS","Gene_vo","9",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_grin",,,"sc/emoji_1.sc","emoji_grin",,,,,"HAPPY","DEFAULT","HAPPY",,,,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_happy",,,"sc/emoji_1.sc","emoji_happy",,,,,"HAPPY","DEFAULT","HAPPY",,,,,"TRUE",,,"TRUE",,,,,,,,,"NEVER"
"emoji_jacky",,,"sc/emoji_1.sc","emoji_jacky","Driller",,,,"DEFAULT","DEFAULT","DEFAULT","Jackie_Start_VO","0",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_jacky_angry",,,"sc/emoji_1.sc","emoji_jacky_angry","Driller",,,,"ANGRY","COMMON","ANGRY","Jackie_Die_VO","3",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_jacky_gg",,,"sc/emoji_1.sc","emoji_jacky_gg","Driller",,,,"SPECIAL","RARE","GG","Jackie_Kill_VO","0",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_jacky_sad",,,"sc/emoji_1.sc","emoji_jacky_sad","Driller",,,,"SAD","COMMON","SAD","Jackie_Hurt_VO","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_jacky_thanks",,,"sc/emoji_1.sc","emoji_jacky_thanks","Driller",,,,"SPECIAL","EPIC","THANKS","Jackie_Ulti_VO","4",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_jessie",,,"sc/emoji_1.sc","emoji_jessie","Mechanic",,,,"DEFAULT","DEFAULT","DEFAULT","Jess_start","3",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_jessie_angry",,,"sc/emoji_1.sc","emoji_jessie_angry","Mechanic",,,,"ANGRY","COMMON","ANGRY","Jess_takedamage","3",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_jessie_gg",,,"sc/emoji_1.sc","emoji_jessie_gg","Mechanic",,,,"SPECIAL","RARE","GG","Jess_lead","3",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_jessie_sad",,,"sc/emoji_1.sc","emoji_jessie_sad","Mechanic",,,,"SAD","COMMON","SAD","Jess_die","3",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_jessie_thanks",,,"sc/emoji_1.sc","emoji_jessie_thanks","Mechanic",,,,"SPECIAL","EPIC","THANKS","Jess_ulti","2",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_laugh",,,"sc/emoji_1.sc","emoji_laugh",,,,,"PLAYER_1","DEFAULT","HAPPY",,,,,"TRUE",,,"TRUE",,,,,,,,,"NEVER"
"emoji_leon",,,"sc/emoji_1.sc","emoji_leon","Ninja",,,,"DEFAULT","DEFAULT","DEFAULT","Leon_start_vo","2",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_leon_angry",,,"sc/emoji_1.sc","emoji_leon_angry","Ninja",,,,"ANGRY","COMMON","ANGRY","Leon_hurt_vo","3",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_leon_gg",,,"sc/emoji_1.sc","emoji_leon_gg","Ninja",,,,"SPECIAL","RARE","GG","Leon_kill_vo","0",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_leon_sad",,,"sc/emoji_1.sc","emoji_leon_sad","Ninja",,,,"SAD","COMMON","SAD","Leon_die_vo","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_leon_thanks",,,"sc/emoji_1.sc","emoji_leon_thanks","Ninja",,,,"SPECIAL","EPIC","THANKS","Leon_ulti_vo","0",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_mortis",,,"sc/emoji_1.sc","emoji_mortis","Undertaker",,,,"DEFAULT","DEFAULT","DEFAULT","Mortis_start","3",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_mortis_angry",,,"sc/emoji_1.sc","emoji_mortis_angry","Undertaker",,,,"ANGRY","COMMON","ANGRY","Mortis_hurt","2",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_mortis_gg",,,"sc/emoji_1.sc","emoji_mortis_gg","Undertaker",,,,"SPECIAL","RARE","GG","Mortis_kill","3",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_mortis_sad",,,"sc/emoji_1.sc","emoji_mortis_sad","Undertaker",,,,"SAD","COMMON","SAD","Mortis_die","2",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_mortis_thanks",,,"sc/emoji_1.sc","emoji_mortis_thanks","Undertaker",,,,"SPECIAL","EPIC","THANKS","Mortis_ulti_vo","2",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_nita",,,"sc/emoji_1.sc","emoji_nita","Shaman",,,,"DEFAULT","DEFAULT","DEFAULT","Nita_start","0",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_nita_angry",,,"sc/emoji_1.sc","emoji_nita_angry","Shaman",,,,"ANGRY","COMMON","ANGRY","Nita_hurt","1",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_nita_gg",,,"sc/emoji_1.sc","emoji_nita_gg","Shaman",,,,"SPECIAL","RARE","GG","Nita_lead","1",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_nita_sad",,,"sc/emoji_1.sc","emoji_nita_sad","Shaman",,,,"SAD","COMMON","SAD","Nita_death","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_nita_thanks",,,"sc/emoji_1.sc","emoji_nita_thanks","Shaman",,,,"SPECIAL","EPIC","THANKS","Nita_ulti","1",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_pam",,,"sc/emoji_1.sc","emoji_pam","MinigunDude",,,,"DEFAULT","DEFAULT","DEFAULT","Pam_start","2",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_pam_angry",,,"sc/emoji_1.sc","emoji_pam_angry","MinigunDude",,,,"ANGRY","COMMON","ANGRY","Pam_die","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_pam_gg",,,"sc/emoji_1.sc","emoji_pam_gg","MinigunDude",,,,"SPECIAL","RARE","GG","Pam_ulti","1",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_pam_sad",,,"sc/emoji_1.sc","emoji_pam_sad","MinigunDude",,,,"SAD","COMMON","SAD","Pam_hurt","4",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_pam_thanks",,,"sc/emoji_1.sc","emoji_pam_thanks","MinigunDude",,,,"SPECIAL","EPIC","THANKS","Pam_start","3",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_penny",,,"sc/emoji_1.sc","emoji_penny","ArtilleryDude",,,,"DEFAULT","DEFAULT","DEFAULT","Penny_start","0",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_penny_angry",,,"sc/emoji_1.sc","emoji_penny_angry","ArtilleryDude",,,,"ANGRY","COMMON","ANGRY","Penny_takedamage","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_penny_gg",,,"sc/emoji_1.sc","emoji_penny_gg","ArtilleryDude",,,,"SPECIAL","RARE","GG","Penny_lead","0",,"LoginCalendarPenny1",,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_penny_sad",,,"sc/emoji_1.sc","emoji_penny_sad","ArtilleryDude",,,,"SAD","COMMON","SAD","Penny_die","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_penny_thanks",,,"sc/emoji_1.sc","emoji_penny_thanks","ArtilleryDude",,,,"SPECIAL","EPIC","THANKS","Penny_takedamage","1",,"LoginCalendarPenny2",,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_piper",,,"sc/emoji_1.sc","emoji_piper","Sniper",,,,"DEFAULT","DEFAULT","DEFAULT","Piper_Start","0",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_piper_angry",,,"sc/emoji_1.sc","emoji_piper_angry","Sniper",,,,"ANGRY","COMMON","ANGRY","Piper_Takedamage","1",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_piper_gg",,,"sc/emoji_1.sc","emoji_piper_gg","Sniper",,,,"SPECIAL","RARE","GG","Piper_Lead","0",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_piper_sad",,,"sc/emoji_1.sc","emoji_piper_sad","Sniper",,,,"SAD","COMMON","SAD","Piper_Die","1",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_piper_thanks",,,"sc/emoji_1.sc","emoji_piper_thanks","Sniper",,,,"SPECIAL","EPIC","THANKS","Piper_Kill","1",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_poco",,,"sc/emoji_1.sc","emoji_poco","DeadMariachi",,,,"DEFAULT","DEFAULT","DEFAULT","Poco_start","3",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_poco_angry",,,"sc/emoji_1.sc","emoji_poco_angry","DeadMariachi",,,,"ANGRY","COMMON","ANGRY","Poco_die","1",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_poco_gg",,,"sc/emoji_1.sc","emoji_poco_gg","DeadMariachi",,,,"SPECIAL","RARE","GG","Poco_lead","2",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_poco_sad",,,"sc/emoji_1.sc","emoji_poco_sad","DeadMariachi",,,,"SAD","COMMON","SAD","Poco_hurt","3",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_poco_thanks",,,"sc/emoji_1.sc","emoji_poco_thanks","DeadMariachi",,,,"SPECIAL","EPIC","THANKS","Poco_start","2",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
